Q1..Health.Quality age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q18..College.Degree Q19.20..Race...Ethnicity trump_approve_score age_race_ethnicity_asian age_race_ethnicity_black age_race_ethnicity_hispanic age_race_ethnicity_other age_race_ethnicity_white Social.Distancing.Adherence
2 55 Female 3 0 3 1 TRUE White 5 0 0 0 0 55 FALSE
3 57 Female 4 2 0 0 FALSE Other 1 0 0 0 57 0 TRUE
2 54 Male 4 1 3 3 TRUE Asian 3 54 0 0 0 0 TRUE
0 44 Female 2 0 0 9 FALSE White 1 0 0 0 0 44 TRUE
3 53 Female 4 2 9 4 TRUE Black 1 0 53 0 0 0 FALSE
3 53 Male 2 0 2 2 FALSE White 5 0 0 0 0 53 TRUE
2 40 Male 4 2 3 3 TRUE White 2 0 0 0 0 40 TRUE
3 40 Female 5 2 1 9 TRUE White 1 0 0 0 0 40 TRUE
0 55 Female 9 0 0 0 TRUE Black 1 0 55 0 0 0 TRUE
2 52 Female 2 0 0 9 FALSE White 3 0 0 0 0 52 TRUE
1 63 Female 1 0 1 1 FALSE Black 1 0 63 0 0 0 TRUE
3 35 Female 4 2 3 3 TRUE White 4 0 0 0 0 35 TRUE
1 70 Male 1 0 4 4 TRUE Black 1 0 70 0 0 0 TRUE
1 87 Female 2 0 1 1 TRUE White 5 0 0 0 0 87 TRUE
2 76 Female 2 0 2 2 FALSE White 5 0 0 0 0 76 TRUE
2 80 Female 9 0 9 0 TRUE White 1 0 0 0 0 80 FALSE
2 45 Female 3 1 2 2 FALSE White 4 0 0 0 0 45 TRUE
2 72 Female 2 0 1 1 TRUE White 5 0 0 0 0 72 TRUE
3 41 Female 3 2 0 6 FALSE Black 5 0 41 0 0 0 TRUE
3 76 Female 2 0 2 2 TRUE Other 3 0 0 0 76 0 TRUE
2 76 Female 6 2 2 2 FALSE Black 1 0 76 0 0 0 TRUE
3 76 Female 4 0 0 9 TRUE White 1 0 0 0 0 76 TRUE
2 77 Female 2 0 0 0 FALSE Black 1 0 77 0 0 0 TRUE
2 81 Male 2 0 9 9 FALSE White 1 0 0 0 0 81 TRUE
2 76 Female 1 0 1 1 FALSE White 1 0 0 0 0 76 TRUE
2 59 Female 2 0 1 1 TRUE White 5 0 0 0 0 59 TRUE
1 84 Female 2 0 0 9 FALSE White 1 0 0 0 0 84 TRUE
3 82 Female 2 0 2 2 FALSE Black 1 0 82 0 0 0 TRUE
1 60 Female 2 1 3 3 FALSE Black 1 0 60 0 0 0 TRUE
2 77 Male 2 0 3 9 FALSE Black 1 0 77 0 0 0 FALSE
2 70 Male 6 2 2 2 FALSE Black 1 0 70 0 0 0 TRUE
2 66 Female 2 0 1 1 FALSE White 5 0 0 0 0 66 TRUE
1 53 Female 2 0 3 3 FALSE Black 1 0 53 0 0 0 TRUE
2 45 Male 2 0 0 0 TRUE Black 1 0 45 0 0 0 TRUE
2 85 Male 2 0 9 0 FALSE White 2 0 0 0 0 85 FALSE
2 74 Female 1 0 1 1 FALSE White 5 0 0 0 0 74 TRUE
1 77 Female 2 0 0 0 FALSE White 5 0 0 0 0 77 TRUE
2 84 Female 1 0 9 1 FALSE White 5 0 0 0 0 84 FALSE
1 68 Male 2 0 9 9 TRUE White 3 0 0 0 0 68 TRUE
0 26 Male 4 0 8 0 TRUE White 3 0 0 0 0 26 FALSE
1 73 Female 2 0 1 1 FALSE White 1 0 0 0 0 73 TRUE
2 87 Female 4 0 0 0 TRUE White 1 0 0 0 0 87 TRUE
3 65 Female 2 0 4 4 FALSE White 3 0 0 0 0 65 TRUE
2 69 Female 4 0 1 0 FALSE White 3 0 0 0 0 69 FALSE
2 77 Male 2 0 0 0 TRUE White 3 0 0 0 0 77 TRUE
0 77 Male 9 2 9 9 FALSE White 2 0 0 0 0 77 TRUE
2 74 Female 7 3 2 1 FALSE White 2 0 0 0 0 74 FALSE
2 81 Male 2 0 9 9 TRUE White 1 0 0 0 0 81 TRUE
2 58 Female 4 0 4 4 FALSE Black 1 0 58 0 0 0 TRUE
3 66 Female 3 0 0 0 FALSE Black 1 0 66 0 0 0 TRUE
1 80 Female 2 0 4 9 FALSE White 1 0 0 0 0 80 FALSE
2 87 Female 1 0 1 1 TRUE White 3 0 0 0 0 87 TRUE
1 91 Male 9 0 9 0 FALSE Other 1 0 0 0 91 0 FALSE
1 74 Female 2 0 0 0 TRUE White 1 0 0 0 0 74 TRUE
0 71 Male 2 0 1 1 FALSE White 5 0 0 0 0 71 TRUE
2 82 Female 9 1 0 9 FALSE White 3 0 0 0 0 82 TRUE
0 38 Female 3 1 0 9 FALSE White 2 0 0 0 0 38 TRUE
2 72 Female 3 0 0 0 TRUE White 2 0 0 0 0 72 TRUE
0 70 Female 9 1 1 9 FALSE White 5 0 0 0 0 70 TRUE
3 74 Male 6 3 1 1 TRUE Black 1 0 74 0 0 0 TRUE
1 70 Male 2 0 0 0 FALSE White 3 0 0 0 0 70 TRUE
2 80 Male 1 0 0 0 TRUE White 3 0 0 0 0 80 TRUE
2 82 Male 2 0 1 1 TRUE White 2 0 0 0 0 82 TRUE
2 78 Male 2 0 7 7 TRUE White 5 0 0 0 0 78 TRUE
1 44 Female 2 0 1 0 TRUE White 2 0 0 0 0 44 FALSE
3 86 Female 1 0 0 0 FALSE White 5 0 0 0 0 86 TRUE
1 87 Male 2 0 2 2 FALSE White 5 0 0 0 0 87 TRUE
2 70 Female 3 0 1 1 FALSE Black 1 0 70 0 0 0 TRUE
3 47 Female 4 1 1 0 TRUE White 2 0 0 0 0 47 FALSE
2 58 Male 2 0 5 5 FALSE White 4 0 0 0 0 58 TRUE
2 60 Female 3 0 8 5 FALSE White 3 0 0 0 0 60 FALSE
0 74 Male 2 0 9 9 FALSE White 5 0 0 0 0 74 TRUE
2 83 Male 2 0 9 9 FALSE White 5 0 0 0 0 83 TRUE
2 60 Female 1 0 9 9 FALSE Black 1 0 60 0 0 0 TRUE
2 54 Male 2 0 3 1 FALSE White 5 0 0 0 0 54 FALSE
1 87 Male 2 0 0 0 FALSE White 3 0 0 0 0 87 TRUE
3 47 Female 4 0 2 1 FALSE Black 1 0 47 0 0 0 FALSE
2 77 Male 3 0 1 1 FALSE Black 2 0 77 0 0 0 TRUE
2 70 Female 2 0 3 1 TRUE Black 1 0 70 0 0 0 FALSE
3 68 Male 2 0 0 0 TRUE White 5 0 0 0 0 68 TRUE
2 88 Female 1 0 0 0 FALSE White 4 0 0 0 0 88 TRUE
2 72 Female 2 0 0 0 FALSE White 5 0 0 0 0 72 TRUE
2 85 Male 2 0 0 9 TRUE White 1 0 0 0 0 85 TRUE
