age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity
51 2 9 9 White
74 0 1 0 White
62 0 2 2 Black
86 0 2 0 White
85 0 0 0 White
61 0 1 0 White
75 0 0 0 White
50 0 3 0 Asian
71 0 1 1 White
80 0 1 8 White
65 0 3 3 White
47 0 9 9 White
85 0 3 0 Black
83 0 4 4 White
66 0 3 2 White
73 0 0 0 White
73 0 3 3 Black
74 0 2 0 White
79 1 1 0 White
58 1 0 0 White
67 0 1 1 White
74 1 0 0 Black
65 0 9 0 White
69 0 6 9 White
81 1 0 0 White
53 1 1 1 White
67 0 2 2 White
87 0 6 6 White
50 0 0 0 White
85 0 2 0 White
92 2 0 0 Black
72 0 3 0 White
51 0 1 0 White
75 0 0 0 White
83 0 1 1 White
83 0 0 0 White
72 0 5 5 White
57 0 5 5 Black
84 0 1 1 White
45 1 5 5 Hispanic.Latino
65 0 1 3 White
86 0 0 0 White
77 0 1 1 White
86 0 2 2 White
57 0 2 2 White
72 0 0 0 Black
84 2 9 9 White
68 0 0 0 White
73 0 0 0 Black
65 0 2 0 Black
66 1 3 1 Black
85 0 5 5 Black
77 0 0 0 White
57 0 9 4 White
35 3 0 0 White
52 2 1 0 White
72 0 9 0 White
48 2 0 0 White
61 0 3 3 White
63 0 0 0 White
60 0 2 3 Black
66 0 3 3 White
68 0 0 0 Other
75 0 3 0 White
77 0 2 1 White
64 0 1 1 White
59 0 1 1 Black
58 0 0 0 Black
77 0 9 7 White
73 0 1 0 White
47 0 9 0 Black
71 0 0 0 White
74 0 0 0 White
56 3 0 0 Black
57 0 9 9 Black
69 0 9 9 Hispanic.Latino
23 0 2 0 Hispanic.Latino
62 0 5 5 White
78 0 1 1 Black
76 2 5 5 Black
76 0 9 9 White
69 0 0 0 Black
70 2 3 6 Black
72 0 4 0 Black
64 0 9 5 Black
75 0 2 2 White
68 0 6 5 White
60 0 5 5 White
91 0 1 1 White
71 0 0 0 White
73 0 2 9 White
50 2 2 1 White
60 3 3 6 Black
54 1 5 5 White
64 0 1 1 Black
72 0 5 5 White
66 0 3 2 White
52 0 2 0 White
88 0 1 1 White
25 0 9 9 Black
67 0 2 2 White
71 0 1 0 White
60 2 2 0 Black
67 0 1 1 White
43 2 6 4 Black
52 1 5 4 Black
83 0 2 1 White
83 0 0 0 Black
65 1 0 0 Black
85 0 1 0 Other
65 0 1 1 Black
68 0 6 3 White
78 0 2 1 White
89 0 1 1 White
60 0 3 1 Other
98 0 0 0 White
79 0 0 0 White
74 0 9 9 White
72 0 0 0 White
71 0 2 2 Black
67 0 0 0 White
87 0 0 0 White
71 0 1 1 White
77 0 9 9 White
60 0 1 1 Black
68 0 9 9 White
58 0 0 0 White
58 0 4 4 White
59 0 1 1 Black
83 0 2 0 White
67 0 1 1 Black
81 0 0 0 White
53 0 0 0 Black
86 0 9 9 White
73 0 1 1 White
85 0 0 0 White
78 0 1 0 White
74 0 4 4 White
63 0 4 3 White
81 1 0 0 White
64 0 0 0 Black
70 0 0 0 White
59 0 9 9 Other
83 0 9 4 White
50 1 3 3 White
69 0 1 1 White
79 0 0 0 White
62 1 0 0 White
59 3 2 2 White
73 0 6 3 Black
66 0 1 1 White
81 0 3 2 White
78 0 0 0 White
60 0 9 1 Black
67 0 0 0 White
82 0 2 2 White
80 0 1 1 White
60 3 3 3 White
79 0 2 1 White
63 0 2 1 White
53 0 7 0 Black
65 0 0 0 Black
68 0 2 2 Black
72 0 0 0 White
20 0 4 4 White
80 0 0 0 Black
77 0 9 9 White
83 0 0 0 White
65 1 4 1 White
76 0 3 3 White
90 0 0 0 White
69 0 2 2 Black
53 2 0 0 White
85 0 0 0 White
75 0 5 3 White
88 0 4 2 White
65 0 4 3 Black
79 0 6 6 White
65 0 0 0 Black
78 1 0 0 White
81 0 3 3 White
56 1 1 1 White
62 0 0 0 White
54 0 0 0 White
63 0 1 1 White
60 0 3 0 White
82 0 0 0 White
86 0 0 0 White
81 0 0 0 White
73 0 1 1 White
52 0 2 8 Black
59 3 9 5 White
30 0 9 9 White
86 0 2 0 Black
68 0 0 0 White
73 0 1 1 White
62 0 5 5 White
82 0 0 0 White
73 0 0 0 Black
84 0 3 3 White
72 0 1 1 White
82 0 1 0 White
74 0 1 1 White
78 0 2 0 White
58 0 2 2 White
78 0 0 0 White
69 0 1 1 White
52 0 0 0 White
61 0 0 0 White
70 0 5 4 White
68 0 0 0 White
75 0 1 0 White
62 0 9 4 White
41 2 1 1 Black
88 0 2 2 White
70 0 0 0 Asian
22 3 0 0 Asian
57 0 1 1 White
48 0 2 2 White
51 1 4 4 Black
71 0 1 1 Black
87 0 0 0 White
85 3 2 1 White
57 0 0 0 White
79 0 1 1 White
62 0 5 3 White
53 0 0 0 White
72 0 0 0 Other
59 0 1 1 Black
83 0 0 0 Black
79 0 0 0 White
60 0 4 3 White
45 3 0 0 Black
88 0 0 0 White
45 1 9 9 White
71 0 0 0 White
52 2 8 8 White
85 0 0 0 White
78 2 1 0 White
55 3 1 1 Other
67 0 0 0 Hispanic.Latino
69 0 0 0 White
81 0 1 1 Black
84 0 1 6 White
62 3 0 0 White
78 0 0 0 White
81 0 4 0 White
73 0 3 0 White
86 0 2 9 White
92 0 2 1 White
79 0 2 2 White
66 0 0 0 Black
91 0 0 0 White
72 0 0 0 Black
73 0 4 4 Black
63 0 9 2 Other
57 0 1 1 White
77 1 1 5 White
63 0 2 3 Black
22 1 3 3 Black
54 3 9 9 White
56 0 0 0 White
46 2 0 0 Hispanic.Latino
66 0 0 0 White
66 1 1 1 White
63 0 3 1 White
81 0 0 0 White
83 0 2 2 White
76 3 1 1 Black
49 1 9 1 White
77 0 1 0 Black
46 0 9 5 Black
50 0 4 2 White
53 0 0 0 White
60 0 3 3 White
66 0 0 0 White
67 0 2 2 White
52 0 3 3 White
49 0 3 3 White
79 0 0 0 Black
40 3 5 3 White
56 0 9 9 White
76 0 1 1 White
71 0 0 0 White
79 0 0 0 White
57 1 0 0 White
50 0 1 1 White
50 2 2 0 White
76 0 1 1 White
46 3 0 0 White
57 1 0 0 White
74 0 1 0 White
44 0 2 2 Black
56 0 0 0 White
50 0 0 0 Black
35 2 0 0 White
52 0 1 0 White
51 0 1 1 White
67 0 0 0 Black
57 1 9 0 White
57 0 3 0 Asian
42 0 1 9 White
46 2 0 0 White
55 0 3 3 Black
65 0 4 4 Black
47 0 4 5 Black
74 0 9 9 White
69 0 0 0 Other
57 0 9 9 White
32 3 9 0 White
62 0 2 2 White
53 1 1 1 White
55 0 3 6 White
74 0 0 0 White
38 2 0 0 Black
47 0 1 9 White
84 0 0 0 White
42 2 6 0 Black
71 0 6 6 White
82 0 0 0 White
84 0 9 0 Black
78 0 6 6 White
64 0 9 7 White
50 0 1 1 White
