age Q1..Health.Quality DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence age_race_ethnicity_asian age_race_ethnicity_black age_race_ethnicity_hispanic age_race_ethnicity_other age_race_ethnicity_white
44 0 Female 4 0 FALSE White 1 1 0 0 0 0 0 44
53 3 Female 4 2 TRUE Black 1 1 0 0 53 0 0 0
53 3 Male 2 0 FALSE White 1 5 1 0 0 0 0 53
40 2 Male 4 2 TRUE White 1 2 1 0 0 0 0 40
40 3 Female 5 1 TRUE White 1 1 1 0 0 0 0 40
55 0 Female 9 0 TRUE Black 1 1 1 0 55 0 0 0
52 2 Female 3 1 FALSE White 1 3 1 0 0 0 0 52
63 1 Female 1 0 TRUE Black 1 1 1 0 63 0 0 0
35 3 Female 4 2 TRUE White 1 4 1 0 0 0 0 35
70 1 Male 1 0 TRUE Black 1 1 1 0 70 0 0 0
87 1 Female 2 0 TRUE White 1 5 1 0 0 0 0 87
76 2 Female 2 0 FALSE White 1 5 1 0 0 0 0 76
80 2 Female 9 0 TRUE White 1 1 0 0 0 0 0 80
45 2 Female 3 1 FALSE White 1 4 1 0 0 0 0 45
72 2 Female 2 0 TRUE White 1 5 1 0 0 0 0 72
41 3 Female 3 1 TRUE Black 1 5 0 0 41 0 0 0
76 3 Female 2 0 FALSE Other 1 3 1 0 0 0 76 0
76 2 Female 6 2 FALSE Black 1 1 1 0 76 0 0 0
76 3 Female 4 0 TRUE White 1 1 0 0 0 0 0 76
77 2 Female 2 0 FALSE Black 1 1 0 0 77 0 0 0
81 2 Male 2 0 FALSE White 1 1 0 0 0 0 0 81
76 2 Female 1 0 FALSE White 1 1 1 0 0 0 0 76
59 2 Female 2 0 TRUE White 1 5 1 0 0 0 0 59
84 1 Female 2 0 FALSE White 1 1 0 0 0 0 0 84
82 3 Female 2 0 FALSE Black 1 1 1 0 82 0 0 0
60 1 Female 2 1 FALSE Black 1 1 0 0 60 0 0 0
77 2 Male 2 0 FALSE Black 1 1 0 0 77 0 0 0
70 2 Male 6 2 FALSE Black 1 1 1 0 70 0 0 0
66 2 Female 2 0 FALSE White 1 5 1 0 0 0 0 66
53 1 Female 2 0 FALSE Black 1 1 1 0 53 0 0 0
45 2 Male 3 2 TRUE Black 1 1 0 0 45 0 0 0
85 2 Male 2 0 FALSE White 1 2 0 0 0 0 0 85
74 2 Female 1 0 FALSE White 1 5 1 0 0 0 0 74
77 1 Female 2 0 FALSE White 1 5 1 0 0 0 0 77
84 2 Female 1 0 FALSE White 1 5 0 0 0 0 0 84
68 1 Male 2 0 TRUE White 1 3 1 0 0 0 0 68
26 0 Male 4 0 TRUE White 1 1 0 0 0 0 0 26
73 1 Female 2 0 FALSE White 1 1 1 0 0 0 0 73
87 2 Female 4 0 TRUE White 1 1 1 0 0 0 0 87
65 3 Female 2 0 FALSE White 1 3 1 0 0 0 0 65
69 2 Female 4 0 FALSE White 1 3 0 0 0 0 0 69
77 2 Male 2 0 TRUE White 1 3 1 0 0 0 0 77
77 0 Male 1 1 TRUE White 1 2 1 0 0 0 0 77
74 2 Female 7 3 FALSE White 1 2 0 0 0 0 0 74
81 2 Male 2 0 TRUE White 1 1 1 0 0 0 0 81
58 2 Female 4 0 FALSE Black 1 1 1 0 58 0 0 0
66 3 Female 3 0 FALSE Black 1 1 1 0 66 0 0 0
80 1 Female 2 0 TRUE White 1 1 0 0 0 0 0 80
87 2 Female 1 0 TRUE White 1 3 1 0 0 0 0 87
91 1 Male 9 0 FALSE Other 1 1 0 0 0 0 91 0
74 1 Female 2 0 TRUE White 1 1 1 0 0 0 0 74
71 0 Male 2 0 FALSE White 1 5 1 0 0 0 0 71
82 2 Female 3 1 FALSE White 1 3 1 0 0 0 0 82
38 0 Female 3 1 FALSE White 1 2 0 0 0 0 0 38
72 2 Female 3 0 FALSE White 1 2 1 0 0 0 0 72
70 0 Female 2 1 FALSE White 1 5 1 0 0 0 0 70
74 3 Male 6 3 TRUE Black 1 1 1 0 74 0 0 0
70 1 Male 2 0 FALSE White 1 3 1 0 0 0 0 70
80 2 Male 1 0 TRUE White 1 3 1 0 0 0 0 80
82 2 Male 2 0 TRUE White 1 3 1 0 0 0 0 82
78 2 Male 2 0 TRUE White 1 5 1 0 0 0 0 78
44 1 Female 2 0 TRUE White 1 3 0 0 0 0 0 44
86 3 Female 1 0 FALSE White 1 5 1 0 0 0 0 86
87 1 Male 2 0 FALSE White 1 5 1 0 0 0 0 87
70 2 Female 3 0 FALSE Black 1 1 1 0 70 0 0 0
47 3 Female 4 1 TRUE White 1 2 0 0 0 0 0 47
58 2 Male 2 0 FALSE White 1 4 1 0 0 0 0 58
60 2 Female 3 0 FALSE White 1 3 0 0 0 0 0 60
74 0 Male 2 0 FALSE White 1 5 1 0 0 0 0 74
83 2 Male 2 0 FALSE White 1 5 1 0 0 0 0 83
60 2 Female 1 0 FALSE Black 1 1 0 0 60 0 0 0
54 2 Male 2 0 FALSE White 1 5 0 0 0 0 0 54
87 1 Male 2 0 FALSE White 1 3 1 0 0 0 0 87
47 3 Female 4 0 FALSE Black 1 1 0 0 47 0 0 0
77 2 Male 3 0 TRUE Black 1 2 1 0 77 0 0 0
70 2 Female 2 0 TRUE Black 1 1 0 0 70 0 0 0
68 3 Male 2 0 TRUE White 1 5 1 0 0 0 0 68
88 2 Female 1 0 FALSE White 1 4 1 0 0 0 0 88
72 2 Female 2 0 FALSE White 1 5 1 0 0 0 0 72
85 2 Male 2 0 TRUE White 1 1 1 0 0 0 0 85
82 3 Female 1 0 TRUE White 1 1 0 0 0 0 0 82
57 0 Female 4 1 TRUE White 1 4 0 0 0 0 0 57
64 2 Male 4 0 TRUE White 1 1 1 0 0 0 0 64
70 3 Female 2 0 TRUE White 1 1 0 0 0 0 0 70
74 3 Male 1 0 TRUE White 1 4 1 0 0 0 0 74
96 1 Male 1 1 TRUE White 1 3 0 0 0 0 0 96
72 2 Male 2 0 FALSE White 1 3 1 0 0 0 0 72
78 2 Male 2 0 FALSE White 1 4 0 0 0 0 0 78
83 1 Female 2 0 FALSE Black 1 1 0 0 83 0 0 0
65 3 Male 9 3 FALSE Black 1 1 0 0 65 0 0 0
90 1 Female 2 1 TRUE White 1 5 1 0 0 0 0 90
60 2 Female 4 0 TRUE Black 1 1 1 0 60 0 0 0
87 2 Female 2 0 TRUE White 1 1 1 0 0 0 0 87
69 2 Female 2 0 TRUE Black 1 1 1 0 69 0 0 0
64 2 Female 3 1 FALSE Black 1 1 0 0 64 0 0 0
50 3 Male 4 0 TRUE White 1 1 1 0 0 0 0 50
81 2 Male 3 1 TRUE White 1 5 1 0 0 0 0 81
73 0 Female 2 0 FALSE White 1 3 1 0 0 0 0 73
84 2 Female 4 1 TRUE Black 1 1 0 0 84 0 0 0
61 3 Female 2 0 FALSE White 1 5 1 0 0 0 0 61
67 2 Male 2 0 FALSE White 1 5 1 0 0 0 0 67
89 2 Male 1 0 FALSE Black 1 1 1 0 89 0 0 0
79 1 Male 9 0 FALSE Black 1 1 1 0 79 0 0 0
85 1 Male 2 0 FALSE Black 1 1 1 0 85 0 0 0
73 2 Female 5 1 FALSE Black 1 2 1 0 73 0 0 0
80 2 Male 2 0 FALSE White 1 3 0 0 0 0 0 80
72 2 Female 1 0 FALSE Black 1 1 1 0 72 0 0 0
79 1 Female 2 0 FALSE Black 1 1 0 0 79 0 0 0
66 3 Male 1 0 TRUE White 1 5 1 0 0 0 0 66
63 1 Male 2 0 FALSE White 1 2 0 0 0 0 0 63
82 2 Male 1 0 TRUE Black 1 1 1 0 82 0 0 0
69 3 Male 2 0 FALSE Black 1 1 1 0 69 0 0 0
85 0 Male 2 0 FALSE White 1 4 1 0 0 0 0 85
91 0 Female 1 0 FALSE White 1 2 0 0 0 0 0 91
85 1 Female 3 0 FALSE Black 1 1 0 0 85 0 0 0
53 2 Male 4 1 FALSE Black 1 1 0 0 53 0 0 0
55 0 Female 4 0 TRUE White 1 2 1 0 0 0 0 55
73 2 Female 1 0 FALSE Black 1 3 0 0 73 0 0 0
66 2 Female 1 0 TRUE Black 1 1 1 0 66 0 0 0
63 2 Female 4 0 FALSE Black 1 1 0 0 63 0 0 0
65 2 Female 4 0 FALSE White 1 4 0 0 0 0 0 65
47 3 Male 4 2 TRUE Black 1 2 0 0 47 0 0 0
83 2 Female 2 0 FALSE White 1 3 0 0 0 0 0 83
58 3 Male 4 0 TRUE White 1 1 1 0 0 0 0 58
76 2 Female 2 1 TRUE White 1 5 1 0 0 0 0 76
55 1 Female 1 0 FALSE White 1 5 1 0 0 0 0 55
79 2 Male 2 0 FALSE White 1 5 1 0 0 0 0 79
70 3 Male 2 0 TRUE White 1 2 1 0 0 0 0 70
86 1 Female 1 0 FALSE White 1 3 1 0 0 0 0 86
68 3 Male 3 0 TRUE White 1 5 1 0 0 0 0 68
75 3 Female 3 1 FALSE White 1 2 1 0 0 0 0 75
62 2 Male 2 0 FALSE Black 1 2 1 0 62 0 0 0
69 1 Female 3 1 FALSE White 1 3 1 0 0 0 0 69
80 2 Female 2 0 FALSE White 1 1 0 0 0 0 0 80
80 1 Female 2 0 FALSE Black 1 1 0 0 80 0 0 0
75 2 Male 2 0 TRUE White 1 3 0 0 0 0 0 75
83 3 Female 2 0 FALSE White 1 5 0 0 0 0 0 83
65 1 Female 2 0 FALSE Black 1 1 1 0 65 0 0 0
59 2 Female 3 0 TRUE White 1 4 0 0 0 0 0 59
70 2 Female 2 0 TRUE White 1 3 0 0 0 0 0 70
76 1 Female 3 0 FALSE Black 1 1 0 0 76 0 0 0
77 2 Female 2 1 FALSE White 1 3 1 0 0 0 0 77
99 0 Female 1 0 TRUE Other 1 1 1 0 0 0 99 0
44 2 Female 2 0 TRUE White 1 3 1 0 0 0 0 44
67 2 Female 1 0 FALSE White 1 1 1 0 0 0 0 67
55 1 Female 1 0 FALSE Black 1 1 0 0 55 0 0 0
90 3 Male 2 0 FALSE White 1 5 1 0 0 0 0 90
77 2 Male 1 0 TRUE White 1 4 0 0 0 0 0 77
64 2 Male 4 1 FALSE White 1 4 1 0 0 0 0 64
50 2 Male 4 2 TRUE White 1 5 0 0 0 0 0 50
62 1 Female 2 0 TRUE White 1 4 0 0 0 0 0 62
81 3 Male 1 0 TRUE White 1 3 0 0 0 0 0 81
58 2 Female 2 3 FALSE Other 1 5 1 0 0 0 58 0
75 2 Female 1 0 FALSE White 1 5 0 0 0 0 0 75
70 1 Male 3 0 FALSE Black 1 1 0 0 70 0 0 0
75 2 Male 3 0 FALSE Black 1 1 0 0 75 0 0 0
58 2 Female 1 0 TRUE White 1 5 1 0 0 0 0 58
88 2 Female 3 1 FALSE White 1 5 1 0 0 0 0 88
78 1 Female 1 0 FALSE White 1 2 1 0 0 0 0 78
67 2 Female 2 0 FALSE Black 1 3 0 0 67 0 0 0
57 1 Female 3 1 FALSE White 1 4 0 0 0 0 0 57
84 1 Female 2 0 FALSE White 1 1 1 0 0 0 0 84
73 3 Female 3 1 FALSE White 1 5 1 0 0 0 0 73
85 3 Female 1 0 FALSE White 1 5 1 0 0 0 0 85
71 2 Female 1 0 FALSE White 1 2 0 0 0 0 0 71
63 2 Male 2 0 TRUE White 1 3 1 0 0 0 0 63
79 3 Female 1 0 FALSE White 1 5 0 0 0 0 0 79
86 3 Female 4 1 FALSE White 1 1 0 0 0 0 0 86
45 2 Female 4 2 FALSE White 1 5 0 0 0 0 0 45
81 3 Male 2 0 FALSE White 1 4 0 0 0 0 0 81
67 0 Female 9 0 FALSE White 1 2 1 0 0 0 0 67
85 2 Female 1 1 FALSE White 1 2 0 0 0 0 0 85
85 2 Male 1 0 FALSE Black 1 1 1 0 85 0 0 0
65 3 Male 2 0 FALSE Black 1 1 0 0 65 0 0 0
56 2 Female 2 0 FALSE White 1 3 0 0 0 0 0 56
70 2 Female 2 0 FALSE White 1 1 0 0 0 0 0 70
83 1 Female 5 1 FALSE White 1 5 0 0 0 0 0 83
46 3 Female 2 0 FALSE White 1 5 0 0 0 0 0 46
74 2 Female 2 0 TRUE White 1 1 0 0 0 0 0 74
62 2 Female 3 0 FALSE White 1 1 1 0 0 0 0 62
85 1 Male 2 0 TRUE White 1 1 0 0 0 0 0 85
84 1 Male 2 0 TRUE White 1 4 1 0 0 0 0 84
76 3 Female 2 0 TRUE White 1 1 1 0 0 0 0 76
65 2 Female 4 1 FALSE Black 1 2 1 0 65 0 0 0
66 2 Female 2 0 TRUE White 1 1 0 0 0 0 0 66
85 3 Male 1 0 FALSE White 1 2 0 0 0 0 0 85
47 3 Female 3 1 FALSE White 1 5 1 0 0 0 0 47
59 0 Male 6 0 FALSE Hispanic.Latino 1 5 0 0 0 59 0 0
72 2 Male 2 0 TRUE White 1 1 1 0 0 0 0 72
60 2 Female 2 0 FALSE White 1 5 1 0 0 0 0 60
57 2 Female 2 0 FALSE Black 1 1 1 0 57 0 0 0
54 3 Female 3 0 TRUE White 1 5 1 0 0 0 0 54
66 2 Female 8 1 TRUE Other 1 1 1 0 0 0 66 0
82 2 Female 2 1 FALSE White 1 5 1 0 0 0 0 82
77 2 Female 2 0 FALSE White 1 5 0 0 0 0 0 77
80 1 Male 2 0 FALSE White 1 3 0 0 0 0 0 80
58 3 Female 2 0 FALSE White 1 1 1 0 0 0 0 58
56 3 Female 3 0 TRUE Hispanic.Latino 1 1 1 0 0 56 0 0
78 2 Male 2 0 FALSE White 1 5 0 0 0 0 0 78
60 2 Female 2 0 FALSE White 1 3 1 0 0 0 0 60
65 2 Female 3 0 FALSE White 1 5 1 0 0 0 0 65
37 2 Male 4 2 FALSE White 1 1 0 0 0 0 0 37
70 1 Female 2 0 FALSE Black 1 2 1 0 70 0 0 0
58 2 Female 3 0 FALSE Black 1 1 1 0 58 0 0 0
69 3 Male 2 0 FALSE White 1 3 1 0 0 0 0 69
52 2 Female 1 0 TRUE Black 1 1 1 0 52 0 0 0
53 3 Male 1 0 FALSE White 1 4 1 0 0 0 0 53
66 3 Female 3 0 TRUE Black 1 1 1 0 66 0 0 0
49 3 Female 3 0 TRUE Other 1 1 0 0 0 0 49 0
57 2 Female 2 0 FALSE Black 1 1 1 0 57 0 0 0
75 3 Female 2 0 FALSE White 1 5 0 0 0 0 0 75
74 2 Female 1 0 TRUE Hispanic.Latino 1 3 1 0 0 74 0 0
77 1 Female 1 0 FALSE White 1 5 1 0 0 0 0 77
58 2 Female 3 0 FALSE White 1 2 1 0 0 0 0 58
69 3 Female 1 0 FALSE Black 1 1 1 0 69 0 0 0
91 3 Male 2 0 TRUE White 1 2 1 0 0 0 0 91
75 2 Male 2 0 FALSE White 1 5 0 0 0 0 0 75
87 3 Male 2 0 FALSE White 1 3 0 0 0 0 0 87
74 2 Female 1 0 FALSE Black 1 1 1 0 74 0 0 0
51 3 Male 4 2 TRUE White 1 2 1 0 0 0 0 51
74 2 Male 1 0 FALSE White 1 4 0 0 0 0 0 74
62 2 Female 2 0 FALSE Black 1 1 1 0 62 0 0 0
86 2 Female 1 0 FALSE White 1 1 0 0 0 0 0 86
85 2 Male 2 0 FALSE White 1 3 1 0 0 0 0 85
61 3 Female 6 0 FALSE White 1 1 1 0 0 0 0 61
75 1 Female 1 0 TRUE White 1 1 1 0 0 0 0 75
50 2 Female 4 0 TRUE Asian 1 1 0 50 0 0 0 0
71 2 Female 1 0 FALSE White 1 2 1 0 0 0 0 71
80 2 Male 3 0 FALSE White 1 1 0 0 0 0 0 80
65 3 Male 2 0 TRUE White 1 5 1 0 0 0 0 65
47 3 Male 3 0 FALSE White 1 3 1 0 0 0 0 47
85 3 Male 1 0 TRUE Black 1 2 0 0 85 0 0 0
83 2 Female 5 0 TRUE White 1 1 0 0 0 0 0 83
66 2 Female 2 1 FALSE White 1 5 0 0 0 0 0 66
73 0 Female 4 0 FALSE White 1 2 1 0 0 0 0 73
73 1 Female 1 0 FALSE Black 1 1 1 0 73 0 0 0
74 2 Male 2 1 TRUE White 1 4 1 0 0 0 0 74
79 0 Female 3 1 FALSE White 1 2 0 0 0 0 0 79
58 3 Male 3 1 FALSE White 1 2 0 0 0 0 0 58
67 3 Female 2 0 FALSE White 1 3 1 0 0 0 0 67
74 2 Male 3 1 TRUE Black 1 4 1 0 74 0 0 0
65 1 Male 2 1 FALSE White 1 4 1 0 0 0 0 65
69 2 Female 2 0 FALSE White 1 5 0 0 0 0 0 69
81 1 Female 3 1 FALSE White 1 2 1 0 0 0 0 81
53 2 Male 3 1 FALSE White 1 1 1 0 0 0 0 53
67 3 Female 2 0 FALSE White 1 1 0 0 0 0 0 67
87 3 Female 1 0 FALSE White 1 4 1 0 0 0 0 87
50 2 Female 6 0 TRUE White 1 1 1 0 0 0 0 50
85 2 Female 2 0 FALSE White 1 5 0 0 0 0 0 85
92 1 Male 9 2 TRUE Black 1 1 0 0 92 0 0 0
72 2 Female 2 0 FALSE White 1 5 0 0 0 0 0 72
51 3 Female 4 0 TRUE White 1 5 0 0 0 0 0 51
75 3 Male 2 0 TRUE White 1 4 1 0 0 0 0 75
83 3 Male 2 1 TRUE White 1 5 1 0 0 0 0 83
83 3 Female 2 0 FALSE White 1 5 1 0 0 0 0 83
72 2 Male 2 0 FALSE White 1 5 1 0 0 0 0 72
57 2 Female 2 0 FALSE Black 1 4 1 0 57 0 0 0
84 2 Female 2 0 FALSE White 1 5 1 0 0 0 0 84
45 3 Male 3 1 TRUE Hispanic.Latino 1 1 1 0 0 45 0 0
65 0 Male 3 0 FALSE White 1 5 0 0 0 0 0 65
86 2 Female 2 0 TRUE White 1 1 1 0 0 0 0 86
77 3 Male 1 1 FALSE White 1 1 1 0 0 0 0 77
86 2 Female 2 0 FALSE White 1 4 1 0 0 0 0 86
57 3 Female 3 0 TRUE White 1 5 1 0 0 0 0 57
72 1 Female 1 0 FALSE Black 1 1 0 0 72 0 0 0
84 1 Female 2 2 TRUE White 1 1 1 0 0 0 0 84
68 2 Male 1 0 TRUE White 1 5 1 0 0 0 0 68
73 3 Female 2 0 FALSE Black 1 1 1 0 73 0 0 0
65 2 Male 2 0 FALSE Black 1 1 1 0 65 0 0 0
66 1 Female 4 1 FALSE Black 1 2 0 0 66 0 0 0
85 1 Female 1 0 FALSE Black 1 1 0 0 85 0 0 0
77 2 Female 2 0 FALSE White 1 3 1 0 0 0 0 77
57 3 Female 3 0 FALSE White 1 1 0 0 0 0 0 57
35 2 Female 7 3 TRUE White 1 3 1 0 0 0 0 35
52 1 Male 4 0 FALSE White 1 5 1 0 0 0 0 52
72 1 Female 3 0 TRUE White 1 5 0 0 0 0 0 72
48 3 Female 4 2 TRUE White 1 3 1 0 0 0 0 48
61 2 Female 2 0 TRUE White 1 2 1 0 0 0 0 61
63 2 Female 2 1 FALSE White 1 3 1 0 0 0 0 63
60 3 Male 2 0 FALSE Black 1 1 0 0 60 0 0 0
66 3 Female 2 0 TRUE White 1 1 1 0 0 0 0 66
68 2 Male 2 0 FALSE Other 1 5 0 0 0 0 68 0
75 2 Female 2 0 TRUE White 1 4 0 0 0 0 0 75
77 3 Female 2 0 FALSE White 1 5 0 0 0 0 0 77
64 1 Male 3 0 FALSE White 1 3 1 0 0 0 0 64
59 2 Female 3 0 FALSE Black 1 1 1 0 59 0 0 0
58 3 Female 2 0 TRUE Black 1 1 1 0 58 0 0 0
77 3 Female 2 0 TRUE White 1 1 0 0 0 0 0 77
73 3 Female 2 1 FALSE White 1 5 1 0 0 0 0 73
47 3 Male 2 0 FALSE Black 1 1 0 0 47 0 0 0
71 1 Female 1 0 FALSE White 1 2 1 0 0 0 0 71
74 2 Male 2 1 TRUE White 1 4 0 0 0 0 0 74
56 3 Female 6 3 FALSE Black 1 1 0 0 56 0 0 0
57 3 Female 2 0 TRUE Black 1 1 1 0 57 0 0 0
69 3 Female 2 0 FALSE Hispanic.Latino 1 3 1 0 0 69 0 0
23 2 Female 3 0 FALSE Hispanic.Latino 1 2 0 0 0 23 0 0
62 0 Male 5 0 FALSE White 1 3 1 0 0 0 0 62
78 1 Female 1 0 FALSE Black 1 1 1 0 78 0 0 0
76 2 Female 2 0 FALSE Black 1 1 1 0 76 0 0 0
76 2 Female 1 0 FALSE White 1 3 1 0 0 0 0 76
69 2 Female 2 0 FALSE Black 1 1 1 0 69 0 0 0
70 2 Female 4 2 FALSE Black 1 1 0 0 70 0 0 0
72 2 Female 2 0 FALSE Black 1 1 0 0 72 0 0 0
64 2 Female 6 0 FALSE Black 1 1 0 0 64 0 0 0
75 2 Male 1 0 FALSE White 1 5 1 0 0 0 0 75
68 3 Female 3 0 FALSE White 1 5 0 0 0 0 0 68
60 2 Female 3 0 TRUE White 1 5 1 0 0 0 0 60
91 3 Female 1 0 FALSE White 1 4 0 0 0 0 0 91
71 2 Female 3 0 FALSE White 1 5 1 0 0 0 0 71
73 3 Female 2 0 FALSE White 1 1 0 0 0 0 0 73
50 2 Male 5 2 TRUE White 1 4 0 0 0 0 0 50
60 2 Male 5 3 FALSE Black 1 1 0 0 60 0 0 0
54 1 Female 3 1 FALSE White 1 4 1 0 0 0 0 54
64 2 Male 1 0 FALSE Black 1 1 0 0 64 0 0 0
72 2 Female 2 0 FALSE White 1 5 1 0 0 0 0 72
66 2 Male 1 1 FALSE White 1 1 1 0 0 0 0 66
52 2 Female 1 0 FALSE White 1 2 0 0 0 0 0 52
88 3 Male 2 1 TRUE White 1 1 0 0 0 0 0 88
25 2 Female 3 0 FALSE Black 1 2 1 0 25 0 0 0
67 2 Female 2 1 FALSE White 1 5 0 0 0 0 0 67
71 1 Male 2 0 FALSE White 1 4 0 0 0 0 0 71
60 2 Male 4 2 FALSE Black 1 1 0 0 60 0 0 0
67 1 Male 2 0 FALSE White 1 5 1 0 0 0 0 67
43 3 Female 4 2 TRUE Black 1 1 0 0 43 0 0 0
52 1 Male 6 1 FALSE Black 1 1 0 0 52 0 0 0
83 3 Female 2 0 FALSE White 1 3 0 0 0 0 0 83
83 2 Male 2 0 TRUE Black 1 1 1 0 83 0 0 0
65 2 Female 4 1 FALSE Black 1 1 0 0 65 0 0 0
