age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence
47 Female 4 1 TRUE White 1 2 0
58 Male 2 0 FALSE White 1 4 1
60 Female 3 0 FALSE White 1 3 0
74 Male 2 0 FALSE White 1 5 1
83 Male 2 0 FALSE White 1 5 1
60 Female 1 0 FALSE Black 1 1 0
54 Male 2 0 TRUE White 1 5 0
87 Male 2 0 FALSE White 1 5 1
47 Female 4 0 FALSE Black 1 1 0
77 Male 3 0 FALSE Black 1 2 1
70 Female 2 0 TRUE Black 1 1 0
68 Male 2 0 TRUE White 1 5 1
88 Female 1 0 FALSE White 1 4 1
72 Female 2 0 FALSE White 1 5 1
85 Male 2 0 TRUE White 1 1 1
82 Female 1 0 FALSE White 1 1 0
57 Female 4 1 TRUE White 1 4 0
64 Male 4 0 TRUE White 1 1 1
70 Female 2 0 TRUE White 1 1 0
74 Male 1 0 TRUE White 1 4 1
96 Male 1 1 TRUE White 1 3 0
72 Male 2 0 FALSE White 1 1 1
78 Male 2 0 TRUE White 1 4 0
83 Female 2 0 FALSE Black 1 1 0
65 Male 9 2 FALSE Black 1 1 1
90 Female 1 0 FALSE White 1 5 0
60 Female 4 0 TRUE Black 1 1 1
87 Female 2 0 TRUE White 1 1 1
69 Female 2 0 TRUE Black 1 1 1
64 Female 3 1 FALSE Black 1 1 0
50 Male 4 0 TRUE White 1 1 1
81 Male 3 0 FALSE White 1 5 1
73 Female 2 0 FALSE White 1 3 1
84 Female 4 1 FALSE Black 1 1 0
61 Female 2 0 FALSE White 1 5 1
67 Male 2 0 FALSE White 1 5 1
89 Male 1 0 FALSE Black 1 1 1
79 Male 9 0 TRUE Black 1 1 1
85 Male 2 0 FALSE Black 1 1 1
73 Female 5 1 FALSE Black 1 3 1
80 Male 2 0 TRUE White 1 3 0
72 Female 1 0 FALSE Black 1 1 1
79 Female 2 0 FALSE Black 1 1 0
66 Male 1 0 TRUE White 1 5 1
63 Male 2 0 FALSE White 1 2 0
82 Male 1 0 FALSE Black 1 1 1
69 Male 2 0 FALSE Black 1 1 1
85 Male 2 0 TRUE White 1 4 1
91 Female 1 0 FALSE White 1 2 0
85 Female 3 0 FALSE Black 1 1 0
53 Male 4 0 TRUE Black 1 1 1
55 Female 4 0 TRUE White 1 2 1
73 Female 1 0 FALSE Black 1 3 0
66 Female 1 0 TRUE Black 1 1 1
63 Female 4 0 FALSE Black 1 1 0
65 Female 4 0 FALSE White 1 4 0
47 Male 4 2 TRUE Black 1 2 0
83 Female 2 0 FALSE White 1 3 0
58 Male 4 0 TRUE White 1 1 1
76 Female 2 0 FALSE White 1 5 1
55 Female 1 0 FALSE White 1 5 1
79 Male 2 0 FALSE White 1 5 1
70 Male 2 0 TRUE White 1 2 1
86 Female 1 0 FALSE White 1 3 1
68 Male 3 0 TRUE White 1 5 1
75 Female 3 1 FALSE White 1 2 1
62 Male 2 0 FALSE Black 1 2 1
69 Female 3 0 TRUE White 1 3 1
80 Female 2 0 FALSE White 1 1 0
80 Female 1 0 TRUE Black 1 1 0
75 Male 2 0 FALSE White 1 3 0
83 Female 2 0 FALSE White 1 5 0
65 Female 2 0 FALSE Black 1 1 1
59 Female 3 0 TRUE White 1 4 0
70 Female 2 0 FALSE White 1 3 0
76 Female 3 0 TRUE Black 1 1 0
77 Female 2 0 TRUE White 1 3 0
99 Female 1 0 TRUE Other 1 1 1
44 Female 2 0 TRUE White 1 3 1
67 Female 1 0 TRUE White 1 1 1
55 Female 7 2 FALSE Black 1 1 1
90 Male 2 0 FALSE White 1 5 1
77 Male 1 0 TRUE White 1 4 0
64 Male 5 0 TRUE White 1 4 1
50 Male 4 2 TRUE White 1 5 0
62 Female 2 0 FALSE White 1 4 0
81 Male 1 0 TRUE White 1 5 0
58 Female 2 3 FALSE Other 1 5 1
75 Female 1 0 FALSE White 1 5 0
70 Male 3 0 FALSE Black 1 1 0
75 Male 3 0 FALSE Black 1 1 0
58 Female 1 0 FALSE White 1 5 1
88 Female 2 0 TRUE White 1 5 1
78 Female 1 0 FALSE White 1 2 1
67 Female 2 0 FALSE Black 1 1 0
57 Female 3 1 FALSE White 1 4 0
84 Female 2 0 FALSE White 1 1 1
73 Female 3 1 FALSE White 1 5 1
85 Female 1 0 FALSE White 1 5 1
71 Female 1 0 FALSE White 1 2 0
63 Male 2 0 TRUE White 1 1 1
79 Female 1 0 FALSE White 1 5 0
86 Female 4 1 FALSE White 1 1 0
45 Female 4 2 FALSE White 1 5 0
81 Male 2 0 FALSE White 1 4 0
67 Female 9 0 TRUE White 1 2 1
85 Female 2 0 TRUE White 1 2 1
85 Male 1 0 FALSE Black 1 1 1
65 Male 2 0 FALSE Black 1 1 0
56 Female 2 0 FALSE White 1 3 0
70 Female 2 0 TRUE White 1 1 0
83 Female 2 0 FALSE White 1 5 1
46 Female 2 0 FALSE White 1 5 0
74 Female 2 0 FALSE White 1 1 0
62 Female 3 0 FALSE White 1 1 1
85 Male 2 0 FALSE White 1 1 0
84 Male 2 0 TRUE White 1 4 1
76 Female 2 0 TRUE White 1 1 1
65 Female 4 1 FALSE Black 1 2 1
66 Female 2 0 TRUE White 1 1 0
85 Male 1 0 FALSE White 1 2 0
47 Female 3 1 FALSE White 1 5 1
59 Male 6 0 FALSE Hispanic.Latino 1 4 0
72 Male 2 0 TRUE White 1 1 1
60 Female 2 0 FALSE White 1 5 1
57 Female 2 0 FALSE Black 1 1 1
54 Female 3 0 TRUE White 1 5 1
66 Female 8 1 TRUE Other 1 1 1
82 Female 2 0 TRUE White 1 5 0
77 Female 2 0 FALSE White 1 5 0
80 Male 2 0 FALSE White 1 3 0
58 Female 2 0 FALSE White 1 1 1
56 Female 3 0 TRUE Hispanic.Latino 1 1 1
78 Male 2 0 TRUE White 1 5 0
60 Female 2 0 FALSE White 1 5 1
65 Female 3 0 FALSE White 1 5 1
37 Male 4 2 FALSE White 1 4 0
70 Female 4 0 TRUE Black 1 2 1
58 Female 3 0 FALSE Black 1 1 1
69 Male 2 0 FALSE White 1 5 1
52 Female 1 0 TRUE Black 1 1 1
53 Male 1 0 FALSE White 1 4 1
66 Female 3 0 TRUE Black 1 1 1
49 Female 3 0 TRUE Other 1 1 0
57 Female 2 0 FALSE Black 1 1 1
75 Female 2 0 TRUE White 1 5 0
74 Female 1 0 TRUE Hispanic.Latino 1 3 1
